-0.9,-1.6
1.05,-0.59
-0.29,-0.07
1.65,-0.07
1.57,-0.13
1.55,-0.59
-0.5,-0.71
-0.15,-0.44
-0.82,-1.56
0.92,-1.39
1.24,-0.81
-0.76,-0.7
1.34,-1.8
1.62,-0.67
-0.15,-0.04
0.79,-1.74
1.45,-1.8
0.62,-1.78
-0.12,-0.83
1.44,-1.57
0.86,-0.84
-0.07,-1.13
-0.36,-1.55
-0.2,0.13
0.18,0.24
0.29,-0.55
0.97,-1.05
-0.95,-0.58
-0.15,-0.22
0.19,-0.9
-0.13,-0.35
-0.27,-1
1.23,-0.74
-0.43,-1.08
0.7,-1.86
0.04,-0.71
0.63,-1.13
-0.96,0.69
1.73,0.59
0.9,0.7
-0.87,0.48
1.29,-1.23
-0.84,0.21
1.82,0.45
0.96,-1.19
1.13,-0.28
1.03,-1.77
1.37,-1.67
1,-0.8
-0.68,0.57
0.56,-1.74
1.87,-0.76
1.45,-0.81
1.07,-2
0.7,-1.41
0.4,-1.51
-0.12,0.9
-0.05,-0.51
-0.72,-1.21
0.42,-0.83
-0.85,-1.2
-0.41,-0.48
0.71,-1.41
0.62,0.95
0.92,-0.51
0.31,-1.73
1.18,0.97
-0.46,-0.64
1.76,-1.5
1.65,0.34
0.06,-0.97
1.42,-0.82
0.01,-0.83
0.43,0.51
0.61,-1.18
0.11,-1.4
1,0.37
0.79,0.58
0.34,-0.57
0,0.32
0.22,0.32
-0.67,-0.28
1.75,-1.05
1.39,-1.4
-0.44,-1.14
-0.65,0.96
0.13,0.02
1.68,0.1
1.69,-0.89
0.73,-1.3
1.67,-1.77
1.38,-1.09
0.26,-1.86
0.02,0.37
0.11,0.47
1.78,-1.86
-0.6,-0.86
-0.24,0.67
-0.31,1
-0.27,-0.01
2.18,2.72
2.85,2.38
2.08,2.07
2.18,2.16
2.66,2.45
2.34,2.13
2.4,2.45
2.23,2.14
-1.66,-1.72
-1.76,-1.54
-1.66,-1.14
-1.17,-1.35
-1.75,-1.74
-1.5,-1.69
-1,-1.91
-1.11,-1.95
-1.85,-1.91
-1.8,-1.72
-1.13,-1.43
-1.58,-1.56
-1.82,-1.92
-1.46,-1.59
-1.53,-1
0.95,-6.99
4.95,-8.6
1.1,-4.32
-3.96,6.86
-4.93,6.84
5.33,-8.52
-2.01,5.15
5.63,-4.73
2.83,-1.3
5.5,-7.99
3.34,-5.21
-1.11,4.8
-6.33,5.31
-1.42,1.14
-7.8,6.62
7.26,-7.25
8.57,-7.67
-6.13,4.81
-7.37,3.97
