0,tcp,http,SF,0.000004,0.000036,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.007828,0.007828,0,0,0,0,1,0,0,0.278431,1,1,0,0.01,0.01,0,0,0,0,normal.,null,null
0,tcp,http,SF,0.000004,0.00005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.001957,0.037182,0,0,0,0,1,0,0.11,0.011765,1,1,0,0.33,0.07,0.33,0,0,0,normal.,null,null
0.000017,tcp,smtp,SF,0.00005,0.000063,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.001957,0.003914,0,0,0,0,1,0,1,0.211765,0.152941,0.72,0.11,0.02,0,0.02,0,0.09,0.13,normal.,null,null
0,tcp,http,SF,0.000004,0.001775,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.009785,0.009785,0,0,0,0,1,0,0,0.227451,1,1,0,0.02,0.05,0,0,0,0,normal.,null,null
0,tcp,smtp,SF,0.000009,0.000065,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,0.329412,0.690196,0.75,0.08,0.01,0.01,0.01,0.01,0.08,0.05,normal.,null,null
0,tcp,http,SF,0.000005,0.000131,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.011742,0.015656,0,0,0,0,1,0,0.25,0.023529,1,1,0,0.17,0.04,0,0,0,0,normal.,null,null
0,tcp,http,SF,0.000005,0.000396,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.015656,0.035225,0,0,0,0,1,0,0.11,0.031373,1,1,0,0.12,0.03,0,0,0,0,normal.,null,null
0,tcp,http,SF,0.000005,0.00013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.017613,0.072407,0,0,0,0,1,0,0.11,0.086275,1,1,0,0.05,0.04,0,0,0,0,normal.,null,null
0,tcp,http,SF,0.000005,0.001034,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.003914,0.003914,0,0,0,0,1,0,0,0.003922,1,1,0,1,0.01,0,0,0,0,normal.,null,null
0.000017,tcp,smtp,SF,0.000016,0.000064,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.001957,0.005871,0,0,0,0,1,0,1,0.003922,0.439216,1,0,1,0.02,0,0,0,0,normal.,null,null
