2.1,-2.91
2.17,-3.33
3.71,-3.5
3.79,-3.75
3.39,-2.11
3.81,-2.77
3.07,-3.55
3.44,-2.82
3.38,-3.08
3.58,-3.88
3.22,-3.4
3.97,-2.7
3.36,-3.42
3.21,-2.28
3.71,-2.29
2.17,-3.82
3.3,-3.92
3.9,-3.09
2.1,-3.72
3.09,-2.18
3.85,-3.15
3.51,-3.06
2.6,-3.77
3.09,-2.79
2.91,-2.37
2.7,-2.95
3.97,-2.78
3.23,-3.41
2.54,-3.58
2.89,-3.31
3.01,-2.92
2.29,-3.22
2.55,-3.15
3.65,-3.49
3.96,-3.78
2.9,-2.25
3.53,-2.77
3.3,-3.95
3.01,-3.64
3.21,-3.29
2.73,-3.33
3.18,-2.93
3.52,-3.46
2.66,-3.05
2.59,-2.23
2.71,-2.26
3.87,-2.35
2.99,-3.17
2.15,-2.88
2.43,-2.64
2.72,-2.44
2.4,-3.15
2.3,-2
3.15,-3.9
2.51,-2.91
2.83,-2.43
2.07,-2.12
3.64,-3.87
3.03,-2.27
3.19,-2.97
3.87,-2.27
3.65,-2.14
2.91,-3.51
3.66,-2.5
3.92,-3.08
3.94,-3.33
3.69,-2.15
2.82,-2.6
2.76,-2.28
3.06,-3.44
3.6,-2.94
3.77,-3.13
3.13,-3.84
3.46,-2.52
2.49,-2.28
3.92,-3.89
3.01,-3.77
3.79,-2.41
2.09,-2.88
3.69,-2.02
2.23,-2.79
2.89,-3.91
2.12,-2.97
3.76,-3.26
3.37,-3.82
3.38,-2.92
3.33,-3.47
3.13,-2.36
2.28,-3.74
3.35,-2.93
3.03,-2.38
2.65,-3.88
2.18,-2.06
2.99,-2.62
3.2,-2.99
3.14,-3.55
3.44,-3.1
3.74,-2.7
3.74,-3.93
4,-2.55
1.54,-1.77
1.65,-0.7
1.75,-0.61
1.52,-1.81
1.62,-0.83
1.98,-1.42
0.56,-1.59
1.37,-1.17
1.99,-0.4
1.09,-1.02
1.56,-1.8
1.43,-0.64
1.18,-0.32
1.53,-0.4
1.51,-1.26
2.08,-5.44
7.09,-8.15
2.39,-7.27
3.83,-2.36
3.67,-7.5
-3.2,-9.69
0.63,-7.38
9.38,-9.84
8.58,-2.92
-1.93,-6.39
2.71,-8.5
5.82,-3.12
9.12,-4.43
-2.53,-8.3
7.05,-2.44
6.95,-9.12
6.71,-7.31
1.73,-2.65
5.49,-1.84
5.74,-1.56
4.21,-2.37
5.95,-0.71
1.94,-0.71
4.94,-1.61
3.49,-2.49
-0.71,-7.99
9.76,-3.92
8.33,-4.33
6.62,-3.35
8.08,-2.71
2.94,-5.53
2.51,-0.42
9.76,-2.35
6.74,-6.46
3.31,-3.09
5.82,-3.47
1.32,-3.39
-1.6,-8.22
-0.32,-5.04
1.85,-8.17
6.01,-7.69
6.4,-4.94
7.15,-9.66
8.64,-3.7
0.37,-3.27
4.7,-9.52
3.86,-4.31
1.84,-4.46
3.32,-7.19
4.93,-9.99
5.81,-1
2.42,-0.5
4.45,-5.67
5.47,-1.32
-1.36,-9.85
1.06,-6.03
2.33,-1.26
5.73,-9.9
1.49,-7.77
2.62,-8.37
2.36,-7.81
9.73,-8.83
9.09,-0.41
1,-2.27
2.29,-8.13
2.54,-3.41
-1.31,-6.31
7.17,-8.21
6.77,-8.58
8.86,-0.51
-1.9,-8.9
7.23,-7.97
8.34,-0.76
7.25,-0.73
7.18,-5.63
-0.4,-9.9
9.97,-8.94
-0.08,-4.27
4.04,-7.6
5.09,-8.58
5.69,-6.64
-1.62,-5.93
0.57,-5.24
6.21,-1.98
1.64,-0.31
4.88,-8.62
6.14,-7.94
0.48,-1.81
8.09,-6.24
3.25,-5
2.36,-2.03
9.02,-9.45
6.8,-8.07
5.54,-9.84
4.96,-4.18
3.56,-5.18
9.25,-7.05
6.97,-8.1
6.35,-2.81
1.15,-5.8
1.03,-7.96
7.62,-3.21
9.99,-2.38
6.81,-6.74
3.3,-7.87
6.16,-1.02
0.84,-1.23
2.84,-2.36
1.28,-2.07
1.17,-2.96
6.29,-3.07
9.99,-7.23
3.38,-4.71
2.4,-5.11
7.13,-6.79
4.16,-5.43
-2.43,-10
9.49,-6.3
1.9,-0.81
9.9,-7.49
9.12,-4.16
3.39,-4.81
1.3,-8.85
1.18,-3.56
5.34,-0.01
-1.76,-5.61
2.39,-4.6
-2.7,-8.43
0.1,-4.44
2.39,-0.12
5.85,-4.67
7.05,-6.05
9.87,-4.88
7.8,-3
5.19,-5.8
0.2,-9.32
4.78,-7.1
-3.37,-9.66
1.5,-3.5
5.61,-5.99
4.72,-9.77
7.31,-5.81
0.09,-7.33
4.99,-6.61
6.39,-4.95
9.01,-0.55
6.11,-4.17
0.66,-4.7
2.36,-6.46
2.06,-0.59
2.77,-3.05
7.61,-2.53
4.95,-7.47
7.42,-5.46
-2.98,-9.43
6.35,-0.59
6.67,-9.72
5.86,-3.69
9.73,-3.79
9.76,-7.87
